"Hiring Lead Configuration Name*","Select Hiring lead","Select Recruiter","Assignment type*","Applicable to*"
Standard,"[REDACTED], [REDACTED]","[REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED], [REDACTED]","Company Wise","All Companies"
"Talent Acquisition",,[REDACTED],"Assignment Framework",Recruiter
